CompNo,Phase,Group,Date,Mass,Code,DamMassBirth,DamMassWean
14656771,A2,SSCDV,19830730,205,,,
14656771,B2,SSCDV,19840625,350,,,
16599136,A1,SKB,19880303,205,,,
16599136,A2,SKB,19880504,275,,400,515
18544601,A1,SKB,19880303,210,,,
18544601,A2,SKB,19880504,270,,415,505
17721275,A2,SLB3,19890505,255,33,,485
18427468,A1,SLB3,19890126,175,,,
18427468,A2,SLB3,19890505,270,33,455,540
20111480,A1,SLB3,19890126,180,,,
20111480,A2,SLB3,19890505,275,33,455,485
18427534,A1,SLB3,19890126,160,,,
18427534,A2,SLB3,19890505,260,33,470,565
18427542,A1,SLB3,19890126,200,10,,
18427542,A2,SLB3,19890505,300,33,560,590
18427575,A1,SLB3,19890126,170,,,
18427575,A2,SLB3,19890505,265,33,490,545
18427617,A1,SLB3,19890126,155,,,
18427617,A2,SLB3,19890505,245,33,560,620
18427658,A1,SLB3,19890126,155,,,
18427658,A2,SLB3,19890505,245,33,390,410
18427674,A1,SLB1,19890126,170,,,
18427674,A2,SLB1,19890505,260,11,400,555
18427724,A1,SLB3,19890126,170,,,
18427724,A2,SLB3,19890505,265,33,500,530
18427740,A1,SLB3,19890126,160,,,
18427740,A2,SLB3,19890505,255,33,455,505
18427757,A1,SLB3,19890126,170,,,
18427757,A2,SLB3,19890505,270,33,500,545
18480269,A1,SLB3,19890126,180,,,
18480269,A2,SLB3,19890505,280,33,515,515
18427914,A1,SLB3,19890126,175,,,
18427914,A2,SLB3,19890505,260,33,425,485
18427963,A1,SLB3,19890126,155,,,
18427963,A2,SLB3,19890505,250,33,475,515
18428045,A1,SLB3,19890126,150,,,
18428045,A2,SLB3,19890505,250,33,435,470
18428086,A1,SLB3,19890126,160,,,
18428086,A2,SLB3,19890505,260,33,645,735
18428102,A1,SLB3,19890126,145,,,
18428102,A2,SLB3,19890505,240,33,460,460
18428193,A1,SLB3,19890126,160,,,
18428193,A2,SLB3,19890505,265,33,480,485
18428300,A1,SLB3,19890126,185,,,
18428300,A2,SLB3,19890505,270,33,465,505
18428334,A1,SLB3,19890126,155,,,
18428334,A2,SLB3,19890505,240,33,445,515
18428482,A1,SLB3,19890126,135,,,
18428482,A2,SLB3,19890505,225,33,515,615
18428540,A1,SLB3,19890126,140,,,
18428540,A2,SLB3,19890505,235,33,530,575
20620803,A2,SLB3,19890505,250,33,,525
17720954,A2,SLB3,19890505,225,33,,505
19129154,A1,SLB1,19890126,150,,,
19129154,A2,SLB1,19890505,225,11,410,470
19129162,A1,SLB1,19890126,165,,,
19129162,A2,SLB1,19890505,240,11,325,400
18427500,A1,SLB3,19890126,165,,,
18427500,A2,SLB3,19890505,245,33,485,480
18427609,A1,SLB3,19890126,160,,,
18427609,A2,SLB3,19890505,240,33,500,605
18427732,A1,SLB3,19890126,155,,,
18427732,A2,SLB3,19890505,240,33,405,450
18427781,A1,SLB3,19890126,140,,,
18427781,A2,SLB3,19890505,230,33,450,505
19260280,A1,SLB1,19890126,165,,,
19260280,A2,SLB1,19890505,245,11,385,460
18427823,A2,SLB1,19890505,235,11,415,455
18428037,A1,SLB3,19890126,140,,,
18428037,A2,SLB3,19890505,225,33,405,415
18428060,A1,SLB3,19890126,125,,,
18428060,A2,SLB3,19890505,215,33,440,485
18428136,A1,SLB3,19890126,135,,,
18428136,A2,SLB3,19890505,215,33,450,510
18428144,A1,SLB1,19890126,135,,,
18428144,A2,SLB1,19890505,215,11,410,515
18428177,A1,SLB3,19890126,140,,,
18428177,A2,SLB3,19890505,235,33,445,440
18428235,A1,SLB3,19890126,140,,,
18428235,A2,SLB3,19890505,215,33,420,475
18428243,A1,SLB3,19890126,160,,,
18428243,A2,SLB3,19890505,230,33,400,465
18428284,A1,SLB1,19890126,135,,,
18428284,A2,SLB1,19890505,210,11,360,440
18428391,A1,SLB1,19890126,140,,,
18428391,A2,SLB1,19890505,235,11,445,490
18428466,A1,SLB1,19890126,130,,,
18428466,A2,SLB1,19890505,220,11,350,385
18428474,A1,SLB3,19890126,120,,,
18428474,A2,SLB3,19890505,200,33,480,485
18428516,A1,SLB3,19890126,135,,,
18428516,A2,SLB3,19890505,245,33,500,490
19260298,A2,SLB1,19890505,195,11,,420
19129147,A1,SLB1,19890126,180,,,
19129147,A2,SLB1,19890505,240,11,340,415
18427484,A1,SLB3,19890126,160,,,
18427484,A2,SLB3,19890505,240,33,385,410
18480210,A1,SLB3,19890126,165,,,
18480210,A2,SLB3,19890505,250,33,510,490
18427625,A1,SLB1,19890126,160,,,
18427625,A2,SLB1,19890505,235,11,405,460
18480228,A1,SLB3,19890126,155,,,
18480228,A2,SLB3,19890505,235,33,410,445
18480251,A1,SLB3,19890126,140,,,
18480251,A2,SLB3,19890505,230,33,400,475
18427666,A1,SLB3,19890126,140,,,
18427666,A2,SLB3,19890505,225,33,415,480
18480285,A1,SLB3,19890126,155,,,
18480285,A2,SLB3,19890505,260,33,455,480
18727958,A1,SLB1,19890126,130,,,
18727958,A2,SLB1,19890505,200,11,330,405
18480236,A1,SLB3,19890126,160,,,
18480236,A2,SLB3,19890505,250,33,500,560
18427906,A1,SLB1,19890126,150,,,
18427906,A2,SLB1,19890505,240,11,380,450
18428029,A1,SLB3,19890126,125,,,
18428029,A2,SLB3,19890505,215,33,420,410
18428185,A1,SLB3,19890126,155,,,
18428185,A2,SLB3,19890505,255,33,475,490
18428219,A1,SLB3,19890126,120,,,
18428219,A2,SLB3,19890505,215,33,560,590
18428276,A2,SLB1,19890505,215,11,425,470
18480293,A1,SLB3,19890126,135,,,
18480293,A2,SLB3,19890505,205,33,475,510
18428433,A1,SLB3,19890126,130,,,
18428433,A2,SLB3,19890505,205,33,450,460
18428508,A1,SLB1,19890126,125,,,
18428508,A2,SLB1,19890505,200,11,380,440
18428557,A1,SLB3,19890126,130,,,
18428557,A2,SLB3,19890505,210,33,445,465
18428565,A1,SLB3,19890126,125,,,
18428565,A2,SLB3,19890505,215,33,540,540
18428573,A1,SLB3,19890126,130,,,
18428573,A2,SLB3,19890505,225,33,465,485
18428599,A1,SLB3,19890126,120,,,
18428599,A2,SLB3,19890505,215,33,525,550
18428607,A1,SLB3,19890126,100,,,
18428607,A2,SLB3,19890505,185,33,525,525
18428615,A1,SLB3,19890126,110,,,
18428615,A2,SLB3,19890505,190,33,460,470
19129204,A1,SLB1,19890126,95,,,
19129204,A2,SLB1,19890505,170,11,415,490
18428631,A1,SLB3,19890126,120,,,
18428631,A2,SLB3,19890505,225,33,550,570
18428649,A1,SLB3,19890126,105,,,
18428649,A2,SLB3,19890505,190,33,450,430
12895934,A2,MSUV1,19780605,260,,,495
12895934,B1,MSUV1,19781018,261,,,
12895934,B2,MSUV1,19790221,310,,,
12897617,A1,MSUV1,19780215,150,,,
